party,name,riding,twitter_handle
NDP,Anna Betty  Achneepineskum,Thunder Bay--Superior North,
NDP,Jerome  Adamo,Oakville,Jerome4Oakville
NDP,Malcolm  Allen,Niagara Centre,NDPMalcolmAllen
NDP,Randy  Anderson-Fennell,Delta,unsung32
NDP,Charlie Angus,Timmins–James Bay,CharlieAngusNDP
NDP,Niki  Ashton,Churchill—Keewatinook Aski,nikiashton
NDP,Robert  Aubin,Trois-Rivières,
NDP,Taylor Bachrach,Skeena—Bulkley Valley,taylorbachrach
NDP,Brian  Barker,Niagara Falls,bbarker77
NDP,Justine Bell,North Vancouver,justinegbell
NDP,Stephanie  Bell,Bay of Quinte,
NDP,Sheri Benson,Saskatoon West,sherirbenson
NDP,Daniel Blaikie,Elmwood—Transcona,daniel_blaikie
NDP,Rachel Blaney,North Island—Powell River,RABlaney
NDP,Shandi Bleiken,Lethbridge,ShandiBleiken
NDP,Alexandre  Boulerice,Rosemont--La-Petite-Patrie,
NDP,Ruth Ellen  Brosseau,Berthier--Maskinongé,
NDP,Lori  Campbell,Waterloo,campbelllor
NDP,Richard Cannings,South Okanagan—West Kootenay,CanningsNDP
NDP,Claire Card,Saskatoon–University,ClaireCard
NDP,Guy Caron,Rimouski-Neigette–Témiscouata–Les Basques,GuyCaronNPD
NDP,Andrew Cash,Davenport,andrewcash
NDP,Bob  Chamberlin,Nanaimo—Ladysmith,ChiefBobbyc
NDP,Matthew  Chambers,Oxford,MatthewNewDem
NDP,Brian  Chang,Toronto Centre,
NDP,Yan Chen,Scarborough North,YanChenNDP
NDP,François Choquette,Drummond,F_Choquette
NDP,Allison Cillis,Flamborough–Glanbrook,allisoncillis
NDP,Nikki Clarke,Mississauga–Malton,
NDP,Melissa Coenraad,Kanata–Carleton,MelissaCoenraad
NDP,Laurel Collins,Victoria,laurel_bc
NDP,Don Davies,Vancouver Kingsway,DonDavies
NDP,Barbara Doyle,Haliburton–Kawartha Lakes–Brock,doylehklb
NDP,Matthew  Dubé,Beloeil–Chambly,MattDube
NDP,Lenaee  Dupuis,Burlington,
NDP,Pierre-Luc Dusseault,Sherbrooke,PLDusseault
NDP,Scott Duvall,Hamilton Mountain,sduvall07
NDP,Zahia  El Masri,Ahuntsic-Cartierville,
NDP,Naiima  Farah,Etobicoke North,
NDP,Randall  Garrison,Esquimalt—Saanich—Sooke,r_garrison
NDP,Morgan  Gay,Ottawa South,
NDP,Leah Gazan,Winnipeg Centre,leahgazan
NDP,Denise  Giroux,Pontiac,
NDP,Joan  Gottman,Salaberry–Suroît,
NDP,Christina  Gower,Coquitlam–Port Coquitlam,ChristinaGower4
NDP,Matthew  Green,Hamilton Centre,
NDP,Scott Hamilton,Cambridge,hamiltoncbridge
NDP,Yvonne  Hanson,Vancouver Granville,YVR_Hanson
NDP,Cheryl  Hardcastle,Windsor–Tecumseh,chardcastlendp
NDP,Jack Harris,St. John's East,jackharrisndp
NDP,Jessika  Hepburn,South Shore—St. Margaret's,
NDP,Kevin  Hua,Carleton,HuaForCarleton
NDP,Carol Hughes,Algoma—Manitoulin—Kapuskasing,carolhughesmp
NDP,Mae  J. Nam,Beaches–East York,maejnam
NDP,Aisha  Jahangir,Guelph,
NDP,Dan Janssen,Barrie-Springwater-Oro-Medonte,iamdanj
NDP,Sylvie  Jetté,Brome–Missisquoi,
NDP,Andrea Vasquez  Jimenez,York Centre,
NDP,Gord  Johns,Courtenay-Alberni,
NDP,Georgina Jolibois,Desnethé--Missinippi--Churchill River,
NDP,Peter Julian,New Westminster—Burnaby,MPJulian
NDP,Navjit Kaur,Brampton West,navjitkaurndp
NDP,Mandeep Kaur,Brampton South,mandeepndp
NDP,Yvonne  Kelly,Newmarket–Aurora,
NDP,Leigh  Kenny,Vancouver Quadra,
NDP,Adam  Kilner,Sarnia—Lambton,AdamKilnerNDP
NDP,Geoff Krauter,Perth–Wellington,geoffkndp
NDP,Evan  Krosney,Kildonan – St. Paul,evankrosney
NDP,Justin Kulik,Kelowna–Lake Country,JustinKulik
NDP,Jenny Kwan,Vancouver East,JennyKwanBC
NDP,Min Sook Lee,Toronto—Danforth,minsooklee
NDP,Justin Lemphers,Yukon,
NDP,Shawna Lewkowitz,London West,shawnalewk
NDP,Amanda  MacDonald,Vaudreuil--Soulanges,
NDP,Betsy MacDonald,Central Nova,BetsyNDP
NDP,Laurel  MacDowell,Don Valley West,Isefty
NDP,Angella  MacEwen,Ottawa West--Nepean,
NDP,Alistair  MacGregor,Cowichan-Malahat-Langford,
NDP,Nimâ Machouf,Laurier–Sainte-Marie,nimamachoufnpd
NDP,Konstantine Malakos,Glengarry—Prescott—Russell,kmalakos
NDP,Yousaf  Malik,Hamilton West—Ancaster—Dundas,YousafMalikNDP
NDP,Kyle  Mason,Winnipeg North,
NDP,Brian Masse,Windsor West,BrianMasseMP
NDP,Lindsay Mathyssen,London—Fanshawe,lmathys
NDP,Sara  McCleary,Sault Ste. Marie,saramcclearyndp
NDP,Jessa  McLean,York--Simcoe,
NDP,Heather McPherson,Edmonton Strathcona,
NDP,Stéphanie  Mercier,Ottawa--Vanier,
NDP,Nick  Milanovic,Hamilton East Stoney Creek,
NDP,Andrew Moraga,Kitchener Centre,andrew_moraga
NDP,Gina  Myhill-Jones,Kamloops--Thompson--Cariboo,
NDP,Pierre  Nantel,Longueuil—Saint-Hubert,pierrenantel
NDP,Alexandra  Nash,Eglinton–Lawrence,_AlexNash
NDP,Emma Norton,Dartmouth—Cole Harbour,EmmaNorton4DCH
NDP,Annie  Ohana,Fleetwood–Port Kells,
NDP,Stef  Paquette,Nickel Belt,
NDP,Jigar Patel,Regina–Lewvan,
NDP,Chu Anh Pham,Honoré-Mercier,ChuAnhPham
NDP,Joan  Phillip,Central Okanagan–Similkameen–Nicola,NdpJoan
NDP,Raymonde  Plamondon,Shefford,
NDP,Dirka Prout,London North Centre,DirkaProut
NDP,Wasai Rahimi,Kitchener South–Hespeler,WasaiRahimi
NDP,Tracey Ramsey,Essex,traceyram
NDP,Talon Regent,Moose Jaw–Lake Centre–Lanigan,
NDP,Svend  Robinson,Burnaby North-Seymour,
NDP,Catheryn  Roy-Goyette,Hochelaga,
NDP,Harwinder  Sandhu,North Okanagan-Shuswap,
NDP,Brigitte Sansoucy,Saint-Hyacinthe–Bagot,bsansoucynpd
NDP,Sarjit  Saran,Surrey Centre,SaranSarjit
NDP,Christine Saulnier,Halifax,cmysaul
NDP,Madeleine Sauvé,Abbotsford,MadeleineSauve
NDP,Sabrina  Sawyer,Brantford--Brant,
NDP,Stephen Schneider,Kings--Hants,
NDP,Candace  Shaw,Peterborough-Kawartha,candaceshawNDP
NDP,Jagmeet Singh,Burnaby South,theJagmeetSingh
NDP,Saranjit Singh,Brampton East,SaranjitSingh_
NDP,Sabina  Singh,Saanich–Gulf Islands,Sabina4SGI
NDP,Harjit  Singh Gill,Surrey-Newton,
NDP,Ken  St.George,Charleswood–St. James–Assiniboia–Headingley,kenstg4council
NDP,Chris  Stephen,Bruce-Grey-Owen Sound,
NDP,Wayne Stetski,Kootenay—Columbia,WayneStetski
NDP,Patrick Steuber,Edmonton West,
NDP,Matt Stickland,Sackville--Preston--Chezzetcook,LandOfSticks
NDP,Katherine Swampy,Edmonton Centre,KSwampyNDP
NDP,Nicolas  Tabah,Bécancour--Nicolet--Saurel,
NDP,Emilie Taman,Ottawa Centre,EmilieTaman
NDP,Michelle  Taylor,Leeds--Grenville--Thousand Islands and Rideau Lakes,
NDP,Paul  Taylor,Parkdale—High Park,paultaylorndp
NDP,Yafet  Tewelde,York South—Weston,
NDP,Nicholas  Thompson,Don Valley East,meetnicholas
NDP,Karine  Trudel,Jonquière,
NDP,Rudy Turtle,Kenora,
NDP,Dennis  Van Meer,St. Catharines,scfndp
NDP,Stacey Wakelin,Langley–Aldergrove,staceywakelin
NDP,Barrington  Walker,Kingston and the Islands,WalkerNDP
NDP,Sarah  Whalen-Wright,Durham,
NDP,Jacqueline  Wiens,Orléans,
NDP,Yuk-Sem Won,Thunder Bay—Rainy River,
NDP,Diana  Yoon,Spadina–Fort York,DianaDYoon
NDP,Tom  Young,Parry Sound--Muskoka,
NDP,Bonita Zarrillo,Port Moody–Coquitlam,bonitazarrillo
Liberal,John Aldag,Cloverdale–Langley City,jwaldag
Liberal,Omar Alghabra,Mississauga Centre,OmarAlghabra
Liberal,Will Amos,Pontiac,WillAAmos
Liberal,Anita Anand,Oakville,anitaoakville
Liberal,Gary Anandasangaree,Scarborough–Rouge Park,gary_srp
Liberal,René Arseneault,Madawaska–Restigouche,
Liberal,Chandra Arya,Nepean,ChandraNepean
Liberal,Ramez Ayoub,Thérèse-De Blainville,RamezAyoub
